Slug;Code;Title;Series;Type;UUID;Locale;Lessons;Quiz;KC;Skills
enhancing-social-skills-scorm12-prqpfyxi;EQ-04;Enhancing Social Skills;EQ;SKILLS;;Y;2;;Y;SK-110, SK-106, SK-107, SK-112
improving-self-awareness-scorm12-nv0knu1a;EQ-05;Improving Self-Awareness;EQ;SKILLS;;Y;2;;Y;SK-014, SK-106, SK-107, SK-112
leading-with-emotional-intelligence-scorm12-ebhECLuM;EQ-06;Leading With Emotional Intelligence;EQ;SKILLS;;Y;11;;Y;SK-106, SK-107, SK-079
what-is-emotional-intelligence-scorm12-2b6hr7hq;EQ-07;What Is Emotional Intelligence?;EQ;SKILLS;;Y;2;;Y;SK-107, SK-106, SK-112
2024-nfpa-70-e-required-boundaries-scorm12-dumyti56;ES-00;2024 NFPA 70E Required Boundaries;ES;SKILLS;;;0;;;
arc-flash-personal-protective-equipment-ppe-scorm12-4M7f_E64;ES-01;Arc Flash Personal Protective Equipment (PPE);ES;SKILLS;;;0;;;SK-060, SK-079
electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa;ES-02;Electrical Shock & Arc Flash Risk Assessments (Safety-Related Work Practices);ES;SKILLS;;;0;;;SK-061, SK-060, SK-083
5c12a5da-7dc6-4649-84de-f3637bde375d;ES-03;Permitted Energized Work & Required Energized Work Permit;ES;SKILLS;Y;;0;;;SK-068
required-precautions-practices-energized-work-scorm12-pfsg-qmp;ES-04;Required Precautions & Practices - Energized Work;ES;SKILLS;;;0;;;SK-068
required-precautions-practices-testing-troubleshooting-scorm12-ixvxs06l;ES-05;Required Precautions & Practices - Testing & Troubleshooting;ES;SKILLS;;;0;;;
