SOP ID,SOP Title,Phase,Roles (RACI),Primary JD,Related SOPs,Formerly
9.4.525,9.4.525 Conduct Quality Inspections,4 – Construction,Quality Inspector; Project Manager; Field Supervisor; Branch Manager,,9.4.520; 9.4.515; 9.4.190,Formerly 9.41.525
9.4.530,9.4.530 Manage Quality Testing,4 – Construction,PM; Quality Inspector; Testing Agency; Field Supervisor,,9.4.515; 9.4.525; 9.4.540,Formerly 9.41.530
9.4.535,9.4.535 Manage Nonconformance Reports (NCRs),4 – Construction,Quality Inspector; PM; Field Supervisor; Branch Manager,,9.4.525; 9.4.530; 9.4.540,Formerly 9.41.535
9.4.540,9.4.540 Manage Quality Records,4 – Construction,PM; Site Administrator; Quality Inspector,,9.4.535; 9.4.515; 9.4.190,Formerly 9.41.540
9.4.545,9.4.545 Manage Punch List Quality,4 – Construction,PM; Field Supervisor; Subcontractors; Quality Inspector,,9.4.525; 9.4.540; 9.6.020,Formerly 9.41.545
9.4.560,9.4.560 Manage Manpower Allocation,4 – Construction,PM; Superintendent; Field Supervisor; Branch Manager,,9.4.335; 9.4.340; 9.4.565,Formerly 9.41.560
9.4.565,9.4.565 Manage Equipment Allocation,4 – Construction,PM; Superintendent; Equipment Manager; Field Supervisor,,9.4.560; 9.4.340; 9.4.570,Formerly 9.41.565
9.4.570,9.4.570 Manage Material Allocation,4 – Construction,PM; Purchasing; Field Supervisor; Branch Manager,,9.4.565; 9.4.560; 9.2.010,Formerly 9.41.570
9.4.575,9.4.575 Manage Feeder Wire Release,4 – Construction,Field Supervisor; Foremen; Project Manager; Site Administrator,,9.2.020,
9.4.575,9.4.575 Manage Subcontractor Resources,4 – Construction,PM; Field Supervisor; Subcontractors; Site Administrator,,9.4.155; 9.4.560; 9.4.565,Formerly 9.41.575
9.4.580,9.4.580 Manage Vendor Resources,4 – Construction,PM; Purchasing; Vendors; Site Administrator,,9.2.020; 9.4.605; 9.4.625,Formerly 9.41.580
9.4.585,9.4.585 Plan Prefabrication Resources,4 – Construction,PM; Prefab Manager; Field Supervisor; Purchasing,,9.2.080; 9.4.565; 9.4.570,Formerly 9.41.585
9.4.590,9.4.590 Manage Specialty Contractor Resources,4 – Construction,PM; Field Supervisor; Specialty Contractors; Site Administrator,,9.4.155; 9.4.575; 9.4.190,Formerly 9.41.590
9.4.595,9.4.595 Prepare Resource Reports,4 – Construction,PM; Superintendent; Site Administrator; Branch Manager,,9.4.560; 9.4.565; 9.4.570; 9.4.575,Formerly 9.41.595
9.4.605,9.4.605 Issue Purchase Orders,4 – Construction,Purchasing; PM; Accounting; Vendors,,9.4.415; 9.2.160; 9.4.620,Formerly 9.41.605
9.4.610,9.4.610 Manage Vendor Prequalification,4 – Construction,Purchasing; PM; Branch Manager,,9.4.615; 9.4.605; 9.4.580,Formerly 9.41.610
9.4.615,9.4.615 Manage Vendor Evaluations,4 – Construction,PM; Purchasing; Branch Manager,,9.4.610; 9.4.580; 9.4.620,Formerly 9.41.615
9.4.620,9.4.620 Manage Expediting,4 – Construction,Purchasing; PM; Vendors; Site Administrator,,9.4.605; 9.4.625; 9.4.580,Formerly 9.41.620
9.4.625,9.4.625 Manage Delivery Tracking,4 – Construction,Purchasing; PM; Field Supervisor; Site Administrator,,9.4.620; 9.4.580; 9.4.415,Formerly 9.41.625
9.4.630,9.4.630 Manage Material Receiving,4 – Construction,Field Supervisor; Project Manager; Purchasing; Site Administrator,,9.4.625; 9.4.570; 9.4.190,Formerly 9.41.630
9.4.631 ,9.4.631 Release of Large Feeder Wire,,,,,
9.4.635,9.4.635 Manage Material Inspection,4 – Construction,Quality Inspector; Field Supervisor; Project Manager; Site Administrator,,9.4.530; 9.4.630; 9.4.190,Formerly 9.41.635
9.4.640,9.4.640 Manage Storage and Logistics,4 – Construction,Project Manager; Field Supervisor; Warehouse Staff; Site Administrator,,9.4.060; 9.4.570; 9.4.630,Formerly 9.41.640
9.4.645,9.4.645 Manage Material Handling,4 – Construction,Field Supervisor; Warehouse Staff; Project Manager; Site Administrator,,9.4.060; 9.4.640; 9.4.570,Formerly 9.41.645
9.4.650,9.4.650 Manage Inventory,4 – Construction,Project Manager; Field Supervisor; Site Administrator; Purchasing,,9.4.640; 9.4.645; 9.4.570,Formerly 9.41.650
9.4.655,9.4.655 Prepare Procurement Reports,4 – Construction,Purchasing; Project Manager; Branch Manager; Site Administrator,,9.4.600; 9.4.605; 9.4.650,Formerly 9.41.655
9.4.660,9.4.660 Manage Procurement Closeout,4 – Construction,Project Manager; Purchasing; Accounting; Site Administrator,,9.4.465; 9.4.655; 9.4.650,Formerly 9.41.660
9.4.665,9.4.665 Reconcile Procurement Accounts,4 – Construction,Accounting; Project Manager; Purchasing; Branch Manager,,9.4.395; 9.4.420; 9.4.660,Formerly 9.41.665
