course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
1-what-makes-a-leader-scorm12-gkna64je,chapter-1-what-makes-a-leader-scorm12-gkna64je.zip,Chapter 1 - What Makes A Leader,Leadership & Field Management,Leadership & Management,Proficient,Chapter 1 - What Makes A Leader,1
10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb,chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb.zip,Chapter 10 - Conclusion: Leadership is the Most Important Skill,Leadership & Field Management,Leadership & Management,Proficient,Chapter 10 - Conclusion: Leadership is the Most Important Skill,10
11-building-and-maintaining-team-morale-scorm12-o9ngi2ph,chapter-11-building-and-maintaining-team-morale-scorm12-o9ngi2ph.zip,Chapter 11 Building and Maintaining Team Morale,Leadership & Field Management,Leadership & Management,Proficient,Chapter 11 Building and Maintaining Team Morale,11
12-empowerment-of-field-personnel-scorm12-tz6n2sy9,chapter-12-empowerment-of-field-personnel-scorm12-tz6n2sy9.zip,Chapter 12 - Empowerment of Field Personnel,Leadership & Field Management,Leadership & Management,Proficient,Chapter 12 - Empowerment of Field Personnel,12
12-using-tool-and-technology-scorm12-jzhv6nfe,chapter-12-using-tool-and-technology-scorm12-jzhv6nfe.zip,Chapter 12 Using Tool and Technology,Leadership & Field Management,Leadership & Management,Proficient,Chapter 12 Using Tool and Technology,12
14-the-sticky-note-format-scorm12-ipzawrxc,chapter-14-the-sticky-note-format-scorm12-ipzawrxc.zip,Chapter 14 - The Sticky Note Format,Leadership & Field Management,Leadership & Management,Proficient,Chapter 14 - The Sticky Note Format,14
16-training-the-industry-scorm12-lnugtlxm,chapter-16-training-the-industry-scorm12-lnugtlxm.zip,Chapter 16 - Training the Industry,Leadership & Field Management,Leadership & Management,Proficient,Chapter 16 - Training the Industry,16
17-reshaping-the-industry-scorm12-ltddpgc0,chapter-17-reshaping-the-industry-scorm12-ltddpgc0.zip,Chapter 17 - Reshaping the Industry,Leadership & Field Management,Leadership & Management,Proficient,Chapter 17 - Reshaping the Industry,17
2-jobsite-efficiency-scorm12-gtwzkr7z,chapter-2-jobsite-efficiency-scorm12-gtwzkr7z.zip,Chapter 2 - Jobsite Efficiency,Leadership & Field Management,Leadership & Management,Basic,Chapter 2 - Jobsite Efficiency,2
2-leadership-is-about-human-interaction-scorm12-hfyi9tl7,chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7.zip,Chapter 2 - Leadership is About Human Interaction,Leadership & Field Management,Leadership & Management,Basic,Chapter 2 - Leadership is About Human Interaction,2
3-coordinating-with-other-trades-scorm12-e-hl3uzr,chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr.zip,Chapter 3 - Coordinating with Other Trades-,Leadership & Field Management,Leadership & Management,Basic,Chapter 3 - Coordinating with Other Trades-,3
3-new-manager-101-scorm12-yduvl08s,chapter-3-new-manager-101-scorm12-yduvl08s.zip,Chapter 3 - New Manager 101,Leadership & Field Management,Leadership & Management,Basic,Chapter 3 - New Manager 101,3
4-building-an-effective-team-scorm12-lurfzpkv,chapter-4-building-an-effective-team-scorm12-lurfzpkv.zip,Chapter 4 - Building an Effective Team,Leadership & Field Management,Leadership & Management,Basic,Chapter 4 - Building an Effective Team,4
4-construction-vs-manufacturing-scorm12-atugxt47,chapter-4-construction-vs-manufacturing-scorm12-atugxt47.zip,Chapter 4 - Construction vs. Manufacturing,Leadership & Field Management,Leadership & Management,Basic,Chapter 4 - Construction vs. Manufacturing,4
4-document-management-scorm12-tyrhbk9m,chapter-4-document-management-scorm12-tyrhbk9m.zip,Chapter 4 - Document Management,Leadership & Field Management,Leadership & Management,Proficient,Chapter 4 - Document Management,4
5-extreme-ownership-scorm12-ec9unjhp,chapter-5-extreme-ownership-scorm12-ec9unjhp.zip,Chapter 5 - Extreme Ownership,Leadership & Field Management,Leadership & Management,Basic,Chapter 5 - Extreme Ownership,5
5-introduction-to-quality-control-scorm12-hzjpxur3,chapter-5-introduction-to-quality-control-scorm12-hzjpxur3.zip,Chapter 5 - Introduction to Quality Control,Leadership & Field Management,Leadership & Management,Awareness,Chapter 5 - Introduction to Quality Control,5
5-manpower-projection-scorm12-nxcglu2o,chapter-5-manpower-projection-scorm12-nxcglu2o.zip,Chapter 5 - Manpower Projection,Leadership & Field Management,Leadership & Management,Basic,Chapter 5 - Manpower Projection,5
6-introduction-to-team-management-scorm12-ywlcwpmw,chapter-6-introduction-to-team-management-scorm12-ywlcwpmw.zip,Chapter 6 - Introduction to Team Management,Leadership & Field Management,Leadership & Management,Awareness,Chapter 6 - Introduction to Team Management,6
