course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
art-of-presenting-1-of-3-scorm12-8zxc6t4x,the-art-of-presenting-1-of-3-scorm12-8zxc6t4x.zip,The Art of Presenting - 1 of 3,Professional Development,Professional Development,Basic,,
art-of-presenting-2-of-3-scorm12-l_ebmf_n,the-art-of-presenting-2-of-3-scorm12-l_ebmf_n.zip,The Art of Presenting - 2 of 3,Professional Development,Professional Development,Basic,,
art-of-presenting-3-of-3-scorm12-medonbco,the-art-of-presenting-3-of-3-scorm12-medonbco.zip,The Art of Presenting - 3 of 3,Professional Development,Professional Development,Basic,,
art-of-presenting-chapter-1-the-power-of-great-presenting-scorm12-vamagq-w,the-art-of-presenting-chapter-1-the-power-of-great-presenting-scorm12-vamagq-w.zip,The Art of Presenting - Chapter 1: The Power of Great Presenting,Professional Development,Professional Development,Proficient,The Art of Presenting,1
art-of-presenting-chapter-2-the-givers-mindset-scorm12-ku2y7zgl,the-art-of-presenting-chapter-2-the-givers-mindset-scorm12-ku2y7zgl.zip,The Art of Presenting - Chapter 2: The Giver's Mindset,Professional Development,Professional Development,Basic,The Art of Presenting,2
art-of-presenting-chapter-3-building-your-outline-scorm12-c-q6adkv,the-art-of-presenting-chapter-3-building-your-outline-scorm12-c-q6adkv.zip,The Art of Presenting - Chapter 3: Building Your Outline,Professional Development,Professional Development,Basic,The Art of Presenting,3
art-of-presenting-chapter-5-a-preparing-to-present-scorm12-1s5yhlrb,the-art-of-presenting-chapter-5-a-preparing-to-present-scorm12-1s5yhlrb.zip,The Art of Presenting - Chapter 5a: Preparing to Present,Professional Development,Professional Development,Basic,The Art of Presenting,5
art-of-presenting-chapter-6-making-a-first-impression-scorm12-wmxcgy5v,the-art-of-presenting-chapter-6-making-a-first-impression-scorm12-wmxcgy5v.zip,The Art of Presenting - Chapter 6: Making a First Impression,Professional Development,Professional Development,Basic,The Art of Presenting,6
art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9,the-art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9.zip,The Art of Presenting - Chapter 7a.1: Delivering Your Presentation,Professional Development,Professional Development,Basic,The Art of Presenting,7
art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln,the-art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln.zip,The Art of Presenting - Chapter 7a: Delivering Your Presentation,Professional Development,Professional Development,Basic,The Art of Presenting,7
the-art-of-presentin,the-art-of-presenting-chapter-7-b-delivering-your-presentation-scorm12-w8rvumau (1).zip,The Art of Presenting - Chapter 7b: Delivering Your Presentation,Professional Development,Professional Development,Basic,The Art of Presenting,7
the-art-of-presentin,the-art-of-presenting-chapter-7-c-delivering-your-presentation-scorm12-omhngorm (1).zip,The Art of Presenting - Chapter 7c: Delivering Your Presentation,Professional Development,Professional Development,Basic,The Art of Presenting,7
the-art-of-presentin,the-art-of-presenting-chapter-7-d-delivering-your-presentation-scorm12-rqczlxog (1).zip,The Art of Presenting - Chapter 7d: Delivering Your Presentation,Professional Development,Professional Development,Basic,The Art of Presenting,7
art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1,the-art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1.zip,The Art of Presenting -Chapter 4: Creating Your Slides,Professional Development,Professional Development,Basic,The Art of Presenting,4
common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz,avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz.zip,Avoiding Common Time Wasters- Introduction to Field Leadership Section - 1,Project Planning & Productivity,Project Management,Awareness,,
03-productivity-in-construction-scorm12-imnm9mxy,chapter-03-productivity-in-construction-scorm12-imnm9mxy.zip,Chapter 03 - Productivity in Construction,Project Planning & Productivity,Project Management,Awareness,Chapter 03 - Productivity in Construction,3
10-avoiding-common-time-wasters-scorm12-rakckav4,chapter-10-avoiding-common-time-wasters-scorm12-rakckav4.zip,Chapter 10 Avoiding Common Time Wasters,Project Planning & Productivity,Project Management,Proficient,Chapter 10 Avoiding Common Time Wasters,10
3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox,chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox.zip,Chapter 3 Introduction to Project Planning and Execution,Project Planning & Productivity,Project Management,Awareness,Chapter 3 Introduction to Project Planning and Execution,3
chapter-9-time-manag,chapter-9-time-management-scorm12-gifb0r3z (1).zip,Chapter 9 Time Management,Project Planning & Productivity,Project Management,Proficient,Chapter 9 Time Management,9
on-site-productivity,on-site-productivity-scorm12-m7-7zmzj (1).zip,On-Site Productivity,Project Planning & Productivity,Project Management,Basic,,
management-introduction-to-field-leadership-section-1-scorm12-ecy9z7j1,time-management-introduction-to-field-leadership-section-1-scorm12-ecy9z7j1.zip,Time Management - Introduction to Field Leadership Section - 1,Project Planning & Productivity,Project Management,Awareness,,
nfpa-70-e-required-boundaries-scorm12-dumyti56,2024-nfpa-70-e-required-boundaries-scorm12-dumyti56.zip,2024 NFPA 70E Required Boundaries,Safety,Safety & Compliance,Basic,,
b95f-4fad-b859-fe5a6a84824e,3c1c9fac-b95f-4fad-b859-fe5a6a84824e.zip,A Commitment to Zero Broken Lives- New Hire Safety Orientation,Safety,Safety & Compliance,Awareness,,
lockout-removal-procedures-scorm12-nyjwgrko,abnormal-lockout-removal-procedures-scorm12-nyjwgrko.zip,Abnormal Lockout Removal Procedures,Safety,Safety & Compliance,Proficient,,
flash-personal-protective-equipment-ppe-scorm12-4M7f_E64,arc-flash-personal-protective-equipment-ppe-scorm12-4M7f_E64.zip,Arc Flash Personal Protective Equipment (PPE),Safety,Safety & Compliance,Basic,,
4-introduction-to-safety-management-scorm12-jkruifsj,chapter-4-introduction-to-safety-management-scorm12-jkruifsj.zip,Chapter 4 Introduction to Safety Management,Safety,Safety & Compliance,Awareness,Chapter 4 Introduction to Safety Management,4
f5d1-4131-bc2a-8acbb03cd182,640d3a2d-f5d1-4131-bc2a-8acbb03cd182.zip,Commitment to Safety : A Shared Responsibility- New Hire Safety Orientation,Safety,Safety & Compliance,Awareness,,
d61d-4b14-979b-7e7360f22583,bc18133e-d61d-4b14-979b-7e7360f22583.zip,Complex Lockout-Tagout Procedures,Safety,Safety & Compliance,Advanced,,
shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa,electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa.zip,Electrical Shock & Arc Flash Risk Assessments (Safety-Related Work Practices),Safety,Safety & Compliance,Proficient,,
3831c3b1-2959-47c3-9,3831c3b1-2959-47c3-9eb2-0bb7c0bb06cf (1).zip,Fall Protection In Industrial And Construction Environments,Safety,Safety & Compliance,Basic,,
protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba,fall-protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba.zip,"Fall Protection In Industrial And Construction Environments: Edges, Openings And Guarding",Safety,Safety & Compliance,Basic,,
679c-4f00-b8a6-b62accb23d0d,8d96dbf9-679c-4f00-b8a6-b62accb23d0d.zip,GSL's New Hire Safety Orientation,Safety,Safety & Compliance,Awareness,,
5d88-4056-8a6e-4290ba8a5a5d,4896725b-5d88-4056-8a6e-4290ba8a5a5d.zip,Hazard Communication,Safety,Safety & Compliance,Basic,,
e8aa-4ce3-b528-8ce05aef937f,75a49409-e8aa-4ce3-b528-8ce05aef937f.zip,Information Found on Container Labels,Safety,Safety & Compliance,Basic,,
to-safety-management-introduction-to-field-leadership-section-1-scorm12-xqqzeydb,introduction-to-safety-management-introduction-to-field-leadership-section-1-scorm12-xqqzeydb.zip,Introduction to Safety Management- Introduction to Field Leadership Section - 1,Safety,Safety & Compliance,Awareness,,
f841-41c0-b15d-5e00a8415db9,c1fd58d5-f841-41c0-b15d-5e00a8415db9.zip,Introduction to planning and Controlling Hazards - T.R.A.C.K.,Safety,Safety & Compliance,Awareness,,
362f-42ef-8158-994ddd66e70e,095abf5a-362f-42ef-8158-994ddd66e70e.zip,Lockout Tagout Procedures,Safety,Safety & Compliance,Proficient,,
lockout-tagout-proce,lockout-tagout-procedures-abnormal-lockout-removal-procedures-scorm12-x9mn1h5s (1).zip,Lockout Tagout Procedures - Abnormal Lockout Removal Procedures,Safety,Safety & Compliance,Proficient,,
tagout-procedures-complex-lockout-tagout-procedures-scorm12-r6juiurw,lockout-tagout-procedures-complex-lockout-tagout-procedures-scorm12-r6juiurw.zip,Lockout Tagout Procedures - Complex Lockout-Tagout Procedures,Safety,Safety & Compliance,Advanced,,
tagout-procedures-hazardous-energy-control-lockout-tagout-scorm12-berhmiwr,lockout-tagout-procedures-hazardous-energy-control-lockout-tagout-scorm12-berhmiwr.zip,Lockout Tagout Procedures - Hazardous Energy Control (Lockout Tagout),Safety,Safety & Compliance,Proficient,,
tagout-procedures-return-to-service-procedures-scorm12-_dkqhcuy,lockout-tagout-procedures-return-to-service-procedures-scorm12-_dkqhcuy.zip,Lockout Tagout Procedures - Return To Service Procedures,Safety,Safety & Compliance,Proficient,,
tagout-procedures-simple-lockout-tagout-procedures-scorm12-rj5zpfvf,lockout-tagout-procedures-simple-lockout-tagout-procedures-scorm12-rj5zpfvf.zip,Lockout Tagout Procedures - Simple Lockout-Tagout Procedures,Safety,Safety & Compliance,Proficient,,
tagout-procedures-verifying-a-de-energized-condition-scorm12-ukdghbg_,lockout-tagout-procedures-verifying-a-de-energized-condition-scorm12-ukdghbg_.zip,Lockout Tagout Procedures - Verifying a De-Energized Condition,Safety,Safety & Compliance,Proficient,,
c340-4ef1-8a94-9dddd55b3f0d,64df4a34-c340-4ef1-8a94-9dddd55b3f0d.zip,Nevada's Employee Rights and Responsibilities - New Hire Safety Orientation,Safety,Safety & Compliance,Awareness,,
hire-safety-orientation-scorm12-n-zkxxau,new-hire-safety-orientation-scorm12-n-zkxxau.zip,New Hire Safety Orientation,Safety,Safety & Compliance,Awareness,,
as-focus-four-workplace-hazards-scorm12-_eefrmuc,osh-as-focus-four-workplace-hazards-scorm12-_eefrmuc.zip,OSHA’s Focus Four Workplace Hazards,Safety,Safety & Compliance,Basic,,
c0c3-4b2c-9f6e-baba0ac1bc61,1bcd2f05-c0c3-4b2c-9f6e-baba0ac1bc61.zip,Permit-Required Confined Spaces,Safety,Safety & Compliance,Basic,,
7dc6-4649-84de-f3637bde375d,5c12a5da-7dc6-4649-84de-f3637bde375d.zip,Permitted Energized Work & Required Energized Work Permit,Safety,Safety & Compliance,Basic,,
23d3-4329-b781-9aa96ae455e8,35b692b7-23d3-4329-b781-9aa96ae455e8.zip,"Preventing Slips, Trips and Falls",Safety,Safety & Compliance,Basic,,
precautions-practices-energized-work-scorm12-pfsg-qmp,required-precautions-practices-energized-work-scorm12-pfsg-qmp.zip,Required Precautions & Practices - Energized Work,Safety,Safety & Compliance,Basic,,
precautions-practices-testing-troubleshooting-scorm12-ixvxs06l,required-precautions-practices-testing-troubleshooting-scorm12-ixvxs06l.zip,Required Precautions & Practices - Testing & Troubleshooting,Safety,Safety & Compliance,Basic,,
0243-4b21-b9b7-a54215bbda0b,fa99d337-0243-4b21-b9b7-a54215bbda0b.zip,Return To Service Procedures,Safety,Safety & Compliance,Proficient,,
electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32,safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32.zip,Safe Electrical Work Practices And The 2024 NFPA 70E For Electrical Workers,Safety,Safety & Compliance,Basic,,
5696-4c87-bc57-ee2143596b89,98b56719-5696-4c87-bc57-ee2143596b89.zip,Safely Accessing a Scaffold,Safety,Safety & Compliance,Basic,,
coordinator-10-0-injury-case-management-scorm12-bhn-skit,safety-coordinator-10-0-injury-case-management-scorm12-bhn-skit.zip,Safety Coordinator - 10.0 Injury & Case Management,Safety,Safety & Compliance,Proficient,,
coordinator-11-0-osha-msha-inspections-scorm12-1cfxq7kp,safety-coordinator-11-0-osha-msha-inspections-scorm12-1cfxq7kp.zip,Safety Coordinator - 11.0 OSHA & MSHA Inspections,Safety,Safety & Compliance,Basic,,
coordinator-3-0-employee-safety-orientation-scorm12-wwdhs8xs,safety-coordinator-3-0-employee-safety-orientation-scorm12-wwdhs8xs.zip,Safety Coordinator - 3.0 Employee Safety Orientation,Safety,Safety & Compliance,Awareness,,
safety-coordinator-4,safety-coordinator-4-0-task-training-scorm12-1lqdglp (1).zip,Safety Coordinator - 4.0 Task Training,Safety,Safety & Compliance,Basic,,
coordinator-5-0-safety-meetings-scorm12--kplybaq,safety-coordinator-5-0-safety-meetings-scorm12--kplybaq.zip,Safety Coordinator - 5.0 Safety Meetings,Safety,Safety & Compliance,Basic,,
coordinator-6-0-project-planning-identifying-hazards-scorm12-pa7utguc,safety-coordinator-6-0-project-planning-identifying-hazards-scorm12-pa7utguc.zip,Safety Coordinator - 6.0 Project Planning & Identifying Hazards,Safety,Safety & Compliance,Basic,,
coordinator-7-0-safety-inspections-scorm12-dsf-btet,safety-coordinator-7-0-safety-inspections-scorm12-dsf-btet.zip,Safety Coordinator - 7.0 Safety Inspections,Safety,Safety & Compliance,Basic,,
coordinator-8-0-disciplinary-action-scorm12-efm1bzaa,safety-coordinator-8-0-disciplinary-action-scorm12-efm1bzaa.zip,Safety Coordinator - 8.0 Disciplinary Action,Safety,Safety & Compliance,Basic,,
coordinator-9-0-accident-incident-investigations-scorm12-viiehqfz,safety-coordinator-9-0-accident-incident-investigations-scorm12-viiehqfz.zip,Safety Coordinator - 9.0 Accident & Incident Investigations,Safety,Safety & Compliance,Basic,,
15c2-4272-937c-8c20a0b71e21,7ba26b66-15c2-4272-937c-8c20a0b71e21.zip,Safety Data Sheets,Safety,Safety & Compliance,Basic,,
a94f-49d5-ac01-4a211024faa0,b792b1d9-a94f-49d5-ac01-4a211024faa0.zip,Simple Lockout-Tagout Procedures,Safety,Safety & Compliance,Proficient,,
0aa1-40d0-8653-3cf6c5a31466,c2ef003b-0aa1-40d0-8653-3cf6c5a31466.zip,Supported Scaffolding Safety in Industrial and Construction Environments,Safety,Safety & Compliance,Basic,,
3b20-43df-90c2-6c28b3ca4a5f,0fed7f77-3b20-43df-90c2-6c28b3ca4a5f.zip,Supported Scaffolds and OSHA Regulations,Safety,Safety & Compliance,Basic,,
7631-4483-a177-9d75bcfa828d,b9294f00-7631-4483-a177-9d75bcfa828d.zip,The Written Hazard Communication Plan,Safety,Safety & Compliance,Basic,,
586b-412a-88fb-0a50c800ba67,5a311cb4-586b-412a-88fb-0a50c800ba67.zip,Types Of Chemical Hazards,Safety,Safety & Compliance,Basic,,
c8f4-4239-9186-9e9be0dcd045,7eb6fa30-c8f4-4239-9186-9e9be0dcd045.zip,Using Portable and Fixed Ladders,Safety,Safety & Compliance,Basic,,
a-de-energized-condition-scorm12-tl-lwmmj,verifying-a-de-energized-condition-scorm12-tl-lwmmj.zip,Verifying a De-Energized Condition,Safety,Safety & Compliance,Basic,,
safely-on-scaffolding-scorm12-0txrzw9l,working-safely-on-scaffolding-scorm12-0txrzw9l.zip,Working Safely on Scaffolding,Safety,Safety & Compliance,Basic,,
