Id,Name,CourseCatalogId,IsOurs
472a1413-9212-4a20-80ed-c145ed45146d,As-Builts,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
4de84ec9-1aae-4856-8c0c-9c21f7c71f93,assembly,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ea1f5ad7-0f9a-43f5-9ca0-90e52159342b,Assessment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
5983de64-8d76-49e9-8cc8-22f95f9d2399,assignment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
8fd171e4-522e-4f98-88f1-2629162f510b,atmospheric hazard,b1670146-674a-4730-9e9d-d7d29ba52385,YES
4d92966c-68f3-491a-b29d-6c0b7dd6cc31,Attendant,b1670146-674a-4730-9e9d-d7d29ba52385,YES
f7634dd4-f1cb-4559-a422-b6827770ad86,attitudes,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ec3f41a6-1d0d-4eb6-8c12-5286d95919cc,Audit,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
38fea6ef-67df-4738-934a-6f186bde1c5e,Authority,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
3e25cc39-997f-45f9-9c40-c40db9b7bfbf,autonomy,b1670146-674a-4730-9e9d-d7d29ba52385,YES
1c918369-b05c-43e2-871b-1f9ceff95761,barricades,b1670146-674a-4730-9e9d-d7d29ba52385,YES
1c1b342a-993f-41c2-85ba-3eec420d836c,barriers,b1670146-674a-4730-9e9d-d7d29ba52385,YES
a042c9c6-ab7b-4352-ae67-8176bf1ac78a,basics,b1670146-674a-4730-9e9d-d7d29ba52385,YES
6197e939-d5f5-4635-8732-e51973559936,Behavior,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
909776f7-be7f-4a64-848c-99999d9e0eff,benchmarking,b1670146-674a-4730-9e9d-d7d29ba52385,YES
2e4506e5-a8aa-46a3-8b78-dc473cdff69d,benefits,b1670146-674a-4730-9e9d-d7d29ba52385,YES
72804391-1be1-482b-a550-028439f5c866,Best Practice,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
03d9209b-6240-4e89-99fa-95b790394765,Billings,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
ca101115-ddb0-4184-acea-f81714554bd9,Bluebeam,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
e397563c-b051-44ea-8638-ccfd4bbb5f2f,boundaries,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9acf2254-0cc3-4809-90b5-05e641ad9610,boundary,b1670146-674a-4730-9e9d-d7d29ba52385,YES
15a611fa-c7c6-46b5-a9f5-7446ed376d4a,briefing,b1670146-674a-4730-9e9d-d7d29ba52385,YES
4de00285-a108-4f59-90b8-7ce831834465,Budget,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
ed0bb82e-e4ad-4d79-80a1-2c323a7f0a06,Budgeting,b1670146-674a-4730-9e9d-d7d29ba52385,YES
e0368f8f-7119-483b-8220-93f1c9c0a110,budgets,b1670146-674a-4730-9e9d-d7d29ba52385,YES
b3e33282-cce2-42b2-badd-eaafeab3f84d,Budgetting,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d1be1fc8-a0b9-4b98-9ccb-38f8f2b406e7,categories,b1670146-674a-4730-9e9d-d7d29ba52385,YES
73cb8c79-fd74-416f-ac32-cd230248c9a7,celebration,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d4d6d937-f28c-4f8c-809f-a10cfbdb5f08,Certidication,b1670146-674a-4730-9e9d-d7d29ba52385,YES
2190ebb6-67f5-48e8-a504-12c839c5092b,Change Orders,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
37a95ae6-ccef-4516-be11-ba04104d4cbc,Change Orders,b1670146-674a-4730-9e9d-d7d29ba52385,YES
76405535-2c3e-4462-b3a7-d1f01ec5b9b2,checklist,b1670146-674a-4730-9e9d-d7d29ba52385,YES
c04aa5fd-440b-46c0-9937-e6fd5f8219fd,chemical hazard,b1670146-674a-4730-9e9d-d7d29ba52385,YES
1ff2a8c8-92bb-40d8-9e6b-27c17bd4b3bd,Clarifying Expectations,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
df7d1df5-ce1e-445c-8f50-7ff30a31ba7d,clarity,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ce925b27-918f-4dd7-a1f9-ac6b15aec664,Clarity,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
b48adff1-47aa-4f62-a79a-4c04a5ace315,Clear Messaging,b1670146-674a-4730-9e9d-d7d29ba52385,YES
2d7f43da-78ab-4645-8468-ac2c4a616b3a,Close-Out,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
8f6e4eb8-8993-41e6-929e-ab5bf46cb222,Closeout,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
5187b36a-09ba-4430-a1a7-e0c14bce07ee,closeout,b1670146-674a-4730-9e9d-d7d29ba52385,YES
4e3750d8-54f3-4eb9-bf8d-076939f0535b,Coaching,b1670146-674a-4730-9e9d-d7d29ba52385,YES
c8ada9f7-44c1-4f7c-ba55-7411b1a00330,Coaching,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
fa1992a7-4c61-4e2e-96a4-ca728499db62,Coaching,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
f2bae4cf-7175-42e4-866b-8e4c9de4e067,Colaboration,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
e578945a-8c84-43e8-8c28-a69877eabb31,Collaboration,b1670146-674a-4730-9e9d-d7d29ba52385,YES
92bfa3f9-ffd6-45cc-b81e-b29e6ed51df9,Communication,b1670146-674a-4730-9e9d-d7d29ba52385,YES
eb7b80d0-37ee-4959-a9ae-d5424def82bc,Communication,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
21423f2c-3b0f-43bd-bd58-f901d396130f,Company Mission,b1670146-674a-4730-9e9d-d7d29ba52385,YES
73da3330-ab43-4cf0-bac6-d9d4e3b5561b,competent person,b1670146-674a-4730-9e9d-d7d29ba52385,YES
54ccc0bf-8863-4e71-b808-9c6a2f225235,Completeness,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
55d34735-6806-4a62-a55f-7704ec5a69e4,complex lockout,b1670146-674a-4730-9e9d-d7d29ba52385,YES
a9985309-fe3e-48cf-812e-567b07116b24,compliance,b1670146-674a-4730-9e9d-d7d29ba52385,YES
585bbcf1-77c6-4150-8b95-a1df03c0a892,Compliance,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
8de71894-76c5-45c0-b3ec-e26d18a22bc8,Compliance,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
f45e80a0-19dd-49dc-b7d3-6db70abcb724,Computer Skills,e6eeedce-5092-416a-b16c-d1ca971f4587,NO
cdc05a97-473a-4c88-8fb0-62e0af3bbaaf,Confidentiality,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
e1318476-1a15-4afb-89fd-e0e80401b2f9,confined space,b1670146-674a-4730-9e9d-d7d29ba52385,YES
686ad7d5-61d5-4a7b-8883-af6f9344d8ae,Conflict,b1670146-674a-4730-9e9d-d7d29ba52385,YES
0f054440-3552-4486-b55e-c5cebd10645b,Conflict Avoidance,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
e5c1a73c-caba-4719-8aff-65484a3d27b0,Conflict Resolution,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
35be6073-651b-49ed-80f5-eced4f16dff9,Conflict Resolution,b1670146-674a-4730-9e9d-d7d29ba52385,YES
42372c9d-393e-49a8-90f0-7e70ad49ad55,Connection,b1670146-674a-4730-9e9d-d7d29ba52385,YES
2a131dd7-2a4f-412c-816c-330b75cbb170,consequence,b1670146-674a-4730-9e9d-d7d29ba52385,YES
388b578c-f2c5-475c-9fd8-5b52e7f02596,Consistency,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
6119fa42-b1e9-4643-92aa-02b232372c79,Construction,b1670146-674a-4730-9e9d-d7d29ba52385,YES
8523f9ff-729c-4634-9c57-94bd3ca829a2,Constructive Feedback,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
c0751a5b-91aa-4f52-a0e2-2f3d9a51c458,Continuous Improvement,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
b3ae5da4-e34e-4498-9176-5f2e38826458,Continuous Improvement,b1670146-674a-4730-9e9d-d7d29ba52385,YES
40678605-c16b-4e89-987f-bcc53b11972e,control,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ea277737-30f7-44e7-82e0-9ae94ae39731,controls,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d0f49652-915d-48da-a244-0df6c49dfc0b,conversations,b1670146-674a-4730-9e9d-d7d29ba52385,YES
581ad499-a3e3-49f5-8a1c-657238e41577,coordination,b1670146-674a-4730-9e9d-d7d29ba52385,YES
311129a1-609b-4a81-94eb-72c5f8696cbc,Coordination,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
a898fe40-56b6-41c7-b346-8b73a87ba019,cost,b1670146-674a-4730-9e9d-d7d29ba52385,YES
