Name,Id,CatalogId,IsOurCatalog,SkillCount,Skills
Team Building,dcd2fbb5-9d8a-41b5-8968-86970ad12c48,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Emotional Intelligence,e2e37189-b830-4872-89f5-6325889ee4dd,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Communication,e5d56cc5-8739-4a06-a537-4688d13c6a6c,e6eeedce-5092-416a-b16c-d1ca971f4587,False,0,
Tools,e85cc395-952a-4c00-b58c-3861ddc3830c,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Culture,e9f6b925-c248-48bb-ba83-e823d8685b13,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Communication & Coaching,ec43dd76-c999-4633-5379-08de57079271,b1670146-674a-4730-9e9d-d7d29ba52385,True,4,Setting Expectations; Mentoring & Coaching; Conflict Resolution; Conducting One-on-Ones
Micro-Learning,ede64370-3184-4085-8fc1-cc9d937ac4b7,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Trust,f02ad04c-5cae-4e2c-90c5-8652802c3be6,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Materials,f37bc1dc-264c-4e97-9b3a-a862663191b4,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Leadership & Field Management,f9995c77-8959-4040-fc71-08de562236eb,b1670146-674a-4730-9e9d-d7d29ba52385,True,1,Organizational Structuring
