File Name
9.1.050 – Prepare Construction Takeoff
9.2.005 – Review Contract for High Risk Clauses
9.2.010 – Team Selection
9.2.015 – Project Turnover Meeting
9.2.020 – Procurement of Large Feeder Wire
9.2.030 – Review Contract for Unfavorable or High – Risk Clauses
"9.2.040 – Project Manager Reviews Plans,  Specifications & Schedule"
"9.2.050 – Field Supervisor Reviews Plans,  Specifications & Schedule"
9.2.055 – Compare Estimated vs Planned Performance
9.2.057 – Identify Value Engineering & Prefabrication Opportunities
9.2.060 – Create List of Issues & Begin RFI Process
9.2.070 – Conduct Site Visit
9.2.080 – Prepare Material Handling Plan
9.2.090 – Develop Labor Budget
9.2.100 – Prepare Layout & Sequencing Plan
9.2.110 – Develop Project Schedule
9.2.120 – Establish Tracking & Control Systems
9.2.130 – Construction Execution Kickoff Meeting
9.2.140 – Develop Project Budget
9.2.160 – Develop Procurement Plan
9.3.010 – Setup Office Trailer
9.3.020 – Setup Storage Trailer
9.3.030 – Setup Site Fencing and Access Control
9.3.040 – Setup Temporary Power
9.3.050 – Setup Temporary Water
9.3.060 – Setup Sanitary Facilities
9.3.070 – Setup Temporary Lighting
9.3.080 – Setup Signage
9.3.090 – Setup Security
9.3.100 – Setup Laydown Area
9.3.110 – Setup Equipment Staging
9.3.120 – Setup Parking
9.3.470 – Develop Site – Specific Safety Plan
9.4.010 – Conduct Coordination Meetings
9.4.020 – Conduct Subcontractor Coordination Meetings
9.4.030 – Conduct Client/Owner Meetings
9.4.040 – Conduct Safety Meetings
9.4.050 – Conduct Prefabrication Coordination Meetings
9.4.060 – Conduct Quality Meetings
9.4.190 – Document Filing Standards
9.4.195 – Manage Project Documentation System
9.4.200 – Manage Submittals
9.4.205 – Manage RFIs (Requests for Information)
9.4.210 – Manage Meeting Minutes
9.4.215 – Manage Daily Reports
9.4.220 – Manage Drawing Logs
9.4.225 – Manage Specifications
9.4.230 – Manage Correspondence
9.4.235 – Manage Permits
9.4.240 – Manage Inspection Reports
9.4.270 – Manage Project Communications
9.4.275 – Manage Internal Communications
9.4.280 – Manage External Communications
